x,y,dx,dy,
1.28942451e+01,-2.89329290e+00,0.00000000e+00,0.00000000e+00,
1.28874302e+01,-2.81924748e+00,0.00000000e+00,0.00000000e+00,
1.28300333e+01,-2.88731837e+00,0.00000000e+00,0.00000000e+00,
1.28643465e+01,-2.93899751e+00,0.00000000e+00,0.00000000e+00,
1.25448303e+01,-2.57569003e+00,-7.98511028e-01,1.34381592e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.27385874e+01,-2.90783238e+00,0.00000000e+00,0.00000000e+00,
1.28064137e+01,-2.79940104e+00,0.00000000e+00,0.00000000e+00,
1.27128391e+01,-2.71004725e+00,0.00000000e+00,0.00000000e+00,
1.27835522e+01,-2.72723031e+00,0.00000000e+00,0.00000000e+00,
1.27763586e+01,-2.65968347e+00,0.00000000e+00,0.00000000e+00,
1.27124786e+01,-2.72231007e+00,0.00000000e+00,0.00000000e+00,
1.27467928e+01,-2.77478409e+00,0.00000000e+00,0.00000000e+00,
1.24158688e+01,-2.40124035e+00,-8.52770627e-01,1.46848246e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.26179008e+01,-2.75575590e+00,0.00000000e+00,0.00000000e+00,
1.26920309e+01,-2.63762426e+00,0.00000000e+00,0.00000000e+00,
1.25892076e+01,-2.53881860e+00,0.00000000e+00,0.00000000e+00,
1.26655817e+01,-2.55511236e+00,0.00000000e+00,0.00000000e+00,
1.26576414e+01,-2.49175406e+00,0.00000000e+00,0.00000000e+00,
1.25895519e+01,-2.55105519e+00,0.00000000e+00,0.00000000e+00,
1.26235600e+01,-2.60630441e+00,0.00000000e+00,0.00000000e+00,
1.22804193e+01,-2.24832153e+00,-9.08876181e-01,1.58291742e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.24928713e+01,-2.60357952e+00,0.00000000e+00,0.00000000e+00,
1.25740404e+01,-2.47666645e+00,0.00000000e+00,0.00000000e+00,
1.24600000e+01,-2.36928082e+00,0.00000000e+00,0.00000000e+00,
1.25435848e+01,-2.38462901e+00,0.00000000e+00,0.00000000e+00,
1.25346451e+01,-2.32741880e+00,0.00000000e+00,0.00000000e+00,
1.24611111e+01,-2.38105273e+00,0.00000000e+00,0.00000000e+00,
1.24950323e+01,-2.43675947e+00,0.00000000e+00,0.00000000e+00,
1.21410580e+01,-2.09765053e+00,-9.62258160e-01,1.69306517e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.23625641e+01,-2.45203280e+00,0.00000000e+00,0.00000000e+00,
1.24507771e+01,-2.31696415e+00,0.00000000e+00,0.00000000e+00,
1.23256102e+01,-2.20155454e+00,0.00000000e+00,0.00000000e+00,
1.24162064e+01,-2.21631479e+00,0.00000000e+00,0.00000000e+00,
1.24062405e+01,-2.16610956e+00,0.00000000e+00,0.00000000e+00,
1.23274031e+01,-2.21294117e+00,0.00000000e+00,0.00000000e+00,
1.23608799e+01,-2.26869655e+00,0.00000000e+00,0.00000000e+00,
1.19909611e+01,-1.92313850e+00,-1.02149510e+00,1.81920558e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.22256432e+01,-2.29582548e+00,0.00000000e+00,0.00000000e+00,
1.23200502e+01,-2.15295362e+00,0.00000000e+00,0.00000000e+00,
1.21853771e+01,-2.03062057e+00,0.00000000e+00,0.00000000e+00,
1.22827387e+01,-2.04638076e+00,0.00000000e+00,0.00000000e+00,
1.22707634e+01,-2.00007224e+00,0.00000000e+00,0.00000000e+00,
1.21875095e+01,-2.04282022e+00,0.00000000e+00,0.00000000e+00,
1.22214127e+01,-2.09891582e+00,0.00000000e+00,0.00000000e+00,
1.18399315e+01,-1.77713037e+00,-1.07559240e+00,1.92612141e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.20837831e+01,-2.14251232e+00,0.00000000e+00,0.00000000e+00,
1.21855145e+01,-1.99261427e+00,0.00000000e+00,0.00000000e+00,
1.20393610e+01,-1.86397874e+00,0.00000000e+00,0.00000000e+00,
1.21442747e+01,-1.88060343e+00,0.00000000e+00,0.00000000e+00,
1.21308422e+01,-1.84049857e+00,0.00000000e+00,0.00000000e+00,
1.20421286e+01,-1.87611294e+00,0.00000000e+00,0.00000000e+00,
1.20758238e+01,-1.93134689e+00,0.00000000e+00,0.00000000e+00,
1.16874218e+01,-1.64305520e+00,-1.12554574e+00,2.02310249e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.19372644e+01,-1.99398685e+00,0.00000000e+00,0.00000000e+00,
1.20463018e+01,-1.83865416e+00,0.00000000e+00,0.00000000e+00,
1.18887653e+01,-1.70476651e+00,0.00000000e+00,0.00000000e+00,
1.20005999e+01,-1.72127104e+00,0.00000000e+00,0.00000000e+00,
1.19864244e+01,-1.68904746e+00,0.00000000e+00,0.00000000e+00,
1.18922691e+01,-1.71625733e+00,0.00000000e+00,0.00000000e+00,
1.19249249e+01,-1.76999223e+00,0.00000000e+00,0.00000000e+00,
1.15294476e+01,-1.49613595e+00,-1.17585814e+00,2.12625757e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.17862320e+01,-1.84769094e+00,0.00000000e+00,0.00000000e+00,
1.19015007e+01,-1.68737423e+00,0.00000000e+00,0.00000000e+00,
1.17344112e+01,-1.54907203e+00,0.00000000e+00,0.00000000e+00,
1.18522367e+01,-1.56643009e+00,0.00000000e+00,0.00000000e+00,
1.18368549e+01,-1.54077196e+00,0.00000000e+00,0.00000000e+00,
1.17384415e+01,-1.56079602e+00,0.00000000e+00,0.00000000e+00,
1.17701406e+01,-1.61335146e+00,0.00000000e+00,0.00000000e+00,
1.13699818e+01,-1.37803710e+00,-1.22313023e+00,2.21191779e-01,
